time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,requested_current_A,interval_duration_s,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature,numerical_failure,failure_reason,failure_penalty
360.0,3,0.7782201806255384,0.1620614959976037,4.173744131483911,298.475278553677,3.5,3.5,90.0,4.160780414309726,4.173744131483911,298.475278553677,-0.75,-7.1030747998801855,-0.0,-0.0,False,,0.0
450.0,1,0.402933156213888,0.16071569130314323,3.7933543817980446,298.8039612481553,3.5,3.5,90.0,3.7848004639582364,3.7933543817980446,298.8039612481553,-0.75,-7.0357845651571616,-0.0,-0.0,False,,0.0
450.0,2,0.6337963514603955,0.16071569130314323,4.046603611739908,299.0126751660207,4.5,4.5,90.0,4.031390151012874,4.046603611739908,299.0126751660207,-0.75,-7.0357845651571616,-0.0,-0.0,False,,0.0
450.0,3,0.7945160515891933,0.16071569130314323,4.154570234962222,298.5328263420052,2.5,2.5,90.0,4.151132269760471,4.154570234962222,298.5328263420052,-0.75,-7.0357845651571616,-0.0,-0.0,False,,0.0
540.0,1,0.42351978745666546,0.1595052257332409,3.8111193888618087,298.92767822032806,3.5,3.5,90.0,3.802153748904253,3.8111193888618087,298.92767822032806,-0.75,-6.975261286662046,-0.0,-0.0,False,,0.0
540.0,2,0.6618002389753621,0.1595052257332409,4.083720841398007,299.19176220056147,4.5,4.5,90.0,4.064797921051716,4.083720841398007,299.19176220056147,-0.75,-6.975261286662046,-0.0,-0.0,False,,0.0
540.0,3,0.810811922552847,0.1595052257332409,4.163581854840805,298.5895414607802,2.5,2.5,90.0,4.159176079684835,4.163581854840805,298.5895414607802,-0.75,-6.975261286662046,-0.0,-0.0,False,,0.0
630.0,1,0.4441064186994435,0.1584332013830313,3.829935263929322,299.04896674869605,3.5,3.5,90.0,3.8204411493815567,3.829935263929322,299.04896674869605,-0.75,-6.9216600691515655,-0.0,-0.0,False,,0.0
630.0,2,0.6898041264903285,0.1584332013830313,4.118800202879864,299.368186017447,4.5,4.5,90.0,4.101794296756493,4.118800202879864,299.368186017447,-0.75,-6.9216600691515655,-0.0,-0.0,False,,0.0
630.0,3,0.827107793516501,0.1584332013830313,4.170695219012288,298.6463038689331,2.5,2.5,90.0,4.167322489378711,4.170695219012288,298.6463038689331,-0.75,-6.9216600691515655,-0.0,-0.0,False,,0.0
