time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,requested_current_A,interval_duration_s,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature,numerical_failure,failure_reason,failure_penalty
360.0,3,0.7684426580473471,0.13269156850617153,4.037840379033899,298.4768209394532,0.0,0.0,90.0,4.049341390859884,4.074860055385406,298.47940670801177,-0.75,-5.634578425308576,-0.0,-0.0,False,,0.0
450.0,1,0.49116157582579045,0.12121023679075356,3.9880987518286357,300.27051785678987,7.0,7.0,90.0,3.971668188303423,3.9880987518286357,300.27051785678987,-0.75,-5.060511839537678,-0.0,-0.0,False,,0.0
450.0,2,0.5995693778309927,0.12121023679075356,4.0883943458596,298.84659129365343,7.5,7.5,90.0,4.046370525200027,4.0883943458596,298.84659129365343,-0.75,-5.060511839537678,-0.0,-0.0,False,,0.0
450.0,3,0.7847385290110007,0.12121023679075356,4.143101273350933,298.5311071740503,2.5,2.5,90.0,4.130488948275033,4.143101273350933,298.5311071740503,-0.75,-5.060511839537678,-0.0,-0.0,False,,0.0
540.0,1,0.5352757856317422,0.10401705566739358,4.0352756347529315,300.7745444917641,7.5,7.5,90.0,4.01711717978145,4.0352756347529315,300.7745444917641,-0.75,-4.200852783369679,-0.0,-0.0,False,,0.0
540.0,2,0.6151270931170858,0.10401705566739358,3.9664189950067685,298.90412883567535,2.5,2.5,90.0,3.9712112031990903,3.999389019508958,298.90412883567535,-0.75,-4.200852783369679,-0.0,-0.0,False,,0.0
540.0,3,0.7847385290110038,0.10401705566739358,4.047650140037563,298.5281155684637,0.0,0.0,90.0,4.054088649562838,4.068123212531818,298.5311071740503,-0.75,-4.200852783369679,-0.0,-0.0,False,,0.0
630.0,1,0.5499805222337261,0.09587537857674563,3.903375224625459,300.8119735313359,2.5,2.5,90.0,3.9131302029034662,3.9473823920930213,300.8119735313359,-0.75,-3.7937689288372813,-0.0,-0.0,False,,0.0
630.0,2,0.6618002389753641,0.09587537857674563,4.170137650573988,299.36505103602764,7.5,7.5,90.0,4.120856256670387,4.170137650573988,299.36505103602764,-0.75,-3.7937689288372813,-0.0,-0.0,False,,0.0
630.0,3,0.7847385290110053,0.09587537857674563,4.043718512477527,298.5251474530772,0.0,0.0,90.0,4.045366005290492,4.047650140037563,298.5281155684637,-0.75,-3.7937689288372813,-0.0,-0.0,False,,0.0
720.0,1,0.5911537847192815,0.08613741910503195,4.055133180219324,301.22076370787244,7.0,7.0,90.0,4.02696634584472,4.055133180219324,301.22076370787244,-0.75,-3.3068709552515974,-0.0,-0.0,False,,0.0
720.0,2,0.6773579542614566,0.08613741910503195,4.043046661646402,299.41388331024615,2.5,2.5,90.0,4.047832307318499,4.080997660459996,299.41388331024615,-0.75,-3.3068709552515974,-0.0,-0.0,False,,0.0
720.0,3,0.8010343999746601,0.08613741910503195,4.152287692510676,298.57930821006306,2.5,2.5,90.0,4.138712788297697,4.152287692510676,298.57930821006306,-0.75,-3.3068709552515974,-0.0,-0.0,False,,0.0
810.0,1,0.6058585213212662,0.08062371841747681,3.942413298669458,301.2509229240731,2.5,2.5,90.0,3.9484522476574675,3.974857753152497,301.2509229240731,-0.75,-3.0311859208738405,-0.0,-0.0,False,,0.0
810.0,2,0.6773579542614566,0.08062371841747681,3.945934220808313,299.392280371388,0.0,0.0,90.0,3.954888146173777,3.9743120018899942,299.41388331024615,-0.75,-3.0311859208738405,-0.0,-0.0,False,,0.0
810.0,3,0.801034399974662,0.08062371841747681,4.059452310190119,298.57593823718656,0.0,0.0,90.0,4.064704040022562,4.07669841331605,298.57930821006306,-0.75,-3.0311859208738405,-0.0,-0.0,False,,0.0
900.0,1,0.647031783806821,0.06287130478449568,4.1141129568956405,301.6531447389371,7.0,7.0,90.0,4.074431668915705,4.1141129568956405,301.6531447389371,-0.75,-2.1435652392247837,-0.6700536253379319,-0.0,False,,0.0
900.0,2,0.7240311001197343,0.06287130478449568,4.233502681266897,299.83502190770514,7.5,7.5,90.0,4.182332294497349,4.233502681266897,299.83502190770514,-0.75,-2.1435652392247837,-0.6700536253379319,-0.0,False,,0.0
900.0,3,0.8010343999746646,0.06287130478449568,4.056608566354077,298.5725947254756,0.0,0.0,90.0,4.057780050258771,4.059452310190119,298.57593823718656,-0.75,-2.1435652392247837,-0.6700536253379319,-0.0,False,,0.0
990.0,1,0.6617365204088053,0.05973911125339105,4.003680580990464,301.67757699348533,2.5,2.5,90.0,4.0068183545470974,4.0338098516437935,301.67757699348533,-0.75,-1.9869555626695525,-0.0,-0.0,False,,0.0
990.0,2,0.7240311001197337,0.05973911125339105,3.9981349564864552,299.8062206529035,0.0,0.0,90.0,4.016097827888629,4.060634285085326,299.83502190770514,-0.75,-1.9869555626695525,-0.0,-0.0,False,,0.0
990.0,3,0.8075527483601276,0.05973911125339105,4.101321117797438,298.579109259173,1.0,1.0,90.0,4.096359363661433,4.101321117797438,298.579109259173,-0.75,-1.9869555626695525,-0.0,-0.0,False,,0.0
1080.0,1,0.6764412570107896,0.0535380793638406,4.017129886847535,301.6967848284485,2.5,2.5,89.99999999999989,4.010007217625706,4.017129886847535,301.6967848284485,-0.75,-1.6769039681920297,-0.0,-0.0,False,,0.0
