episode,reward,loss,epsilon,steps,soc_target_reached,numerical_failure,constraints_satisfied
45,-227.49651153614818,1.720484972000122,0.3875,50,False,False,False
46,-160.71572860384987,1.7174067497253418,0.385,50,False,False,False
47,-85.26885582314425,1.7262879610061646,0.3825,50,False,False,False
48,-137.99934230395638,1.7091788053512573,0.38,50,False,False,False
49,-187.19796663427064,1.690704584121704,0.3775,50,False,False,False
50,-175.37773708805733,1.7518211603164673,0.375,50,False,False,False
51,-160.49380944595717,9.912996292114258,0.3725,50,False,False,False
52,-88.12411579247699,6.612759113311768,0.37,50,False,False,False
53,-167.21759687512977,4.193289756774902,0.3675,50,True,False,False
54,-231.80096585786612,2.8146533966064453,0.365,50,False,False,False
55,-75.82856232112763,2.520442008972168,0.3625,50,False,False,False
56,-161.35716023271752,2.565950393676758,0.36,50,False,False,False
57,-104.37501132145219,2.336056709289551,0.35750000000000004,50,False,False,False
58,-149.01088610917265,2.4676907062530518,0.355,50,False,False,False
59,-96.46366997673086,2.250983715057373,0.35250000000000004,50,False,False,False
60,-126.75625990999475,2.3373215198516846,0.35,50,False,False,False
61,-193.4925255000431,2.206432580947876,0.34750000000000003,50,False,False,False
62,-268.40443769504753,2.5918262004852295,0.345,50,False,False,False
63,-216.72107322813142,2.4504146575927734,0.3425,50,False,False,False
64,-207.0792660917927,2.5156354904174805,0.33999999999999997,50,False,False,False
65,-198.36348986287294,2.4741923809051514,0.3375,50,False,False,False
66,-295.5185366968211,2.7665536403656006,0.33499999999999996,50,False,False,False
67,-210.88981489594394,2.6371147632598877,0.3325,50,False,False,False
68,-250.8924886886501,2.7742979526519775,0.32999999999999996,50,False,False,False
69,-211.58895558288958,2.6120591163635254,0.3275,50,False,False,False
70,-223.5691975254184,2.702242851257324,0.325,50,False,False,False
71,-139.1859300488883,2.535858154296875,0.3225,50,False,False,False
72,-134.58958871187488,2.5009982585906982,0.32,50,False,False,False
73,-105.22922784123814,2.4090094566345215,0.3175,45,True,False,False
74,-188.1423893202446,2.356271266937256,0.315,50,False,False,False
75,-127.25062170376592,2.311879873275757,0.3125,50,True,False,False
76,-209.02419111166918,2.257053852081299,0.31,50,False,False,False
77,-98.93288437619954,2.2416298389434814,0.3075,47,True,False,False
78,-127.39383169624558,2.1414449214935303,0.305,50,False,False,False
79,-135.4239242042172,2.13443660736084,0.3025,47,True,False,False
80,-151.84566754512193,2.0387442111968994,0.3,50,True,False,False
81,-188.30179445546375,2.032824754714966,0.2975,50,False,False,False
82,-164.61468738822086,1.9691307544708252,0.29500000000000004,50,False,False,False
83,-136.73376075286356,1.9515564441680908,0.2925,49,True,False,False
84,-136.29078416738477,1.8832027912139893,0.29000000000000004,49,True,False,False
85,-156.4021630844915,1.8848109245300293,0.2875,48,True,False,False
86,-132.9271846590225,1.811631202697754,0.28500000000000003,50,False,False,False
87,-2073.2972300263787,944.930908203125,0.2825,47,False,True,False
88,-193.02936927037817,931.5264892578125,0.28,50,False,False,False
89,-174.65108527233997,918.5296630859375,0.27749999999999997,50,False,False,False
90,-171.56539039050566,905.8698120117188,0.275,50,False,False,False
91,-133.80367790543923,893.5545654296875,0.27249999999999996,50,False,False,False
92,-233.83774173921336,881.6017456054688,0.27,50,False,False,False
93,-95.94433188407969,870.1846313476562,0.26749999999999996,49,True,False,False
94,-110.80994890940227,859.03076171875,0.265,49,True,False,False
95,-141.13271497739657,848.1145629882812,0.2625,49,True,False,False
96,-156.34812141575725,837.1666259765625,0.26,50,False,False,False
97,-70.54242560618378,828.0140991210938,0.2575,41,True,False,False
