episode,reward,loss,epsilon,steps,soc_target_reached,numerical_failure,constraints_satisfied
42,-313.8126935156596,11205.2158203125,0.395,44,True,False,False
43,-282.5763083114942,10884.0703125,0.3925,50,False,False,False
44,-181.82890783362413,10667.9072265625,0.39,35,True,False,False
45,-268.0692863374315,10432.7314453125,0.3875,40,True,False,False
46,-249.3641470887875,10178.125,0.385,45,True,False,False
47,-2183.764009882914,12072.9384765625,0.3825,20,False,True,False
48,-270.92794444632295,11809.8046875,0.38,41,True,False,False
49,-217.22646553031612,11505.2822265625,0.3775,50,False,False,False
50,-292.2309571487529,11256.357421875,0.375,43,True,False,False
51,-211.2526632577366,11016.34765625,0.3725,42,True,False,False
52,-204.34123949901812,10827.28125,0.37,35,True,False,False
53,-175.32166534766282,10626.541015625,0.3675,39,True,False,False
54,-211.51060632464205,10424.3173828125,0.365,41,True,False,False
55,-223.9562212410327,10205.8154296875,0.3625,47,True,False,False
56,-219.4963448496397,10017.203125,0.36,42,True,False,False
57,-238.07397485611133,9799.421875,0.35750000000000004,50,True,False,False
58,-214.04756596387884,9639.48828125,0.355,38,True,False,False
59,-2183.3340836535963,11057.6240234375,0.35250000000000004,29,False,True,False
60,-2184.618046116281,12469.47265625,0.35,29,False,True,False
61,-267.2695182319644,12207.541015625,0.34750000000000003,50,False,False,False
62,-176.25292813927965,12035.7509765625,0.345,34,True,False,False
63,-251.64719836979987,11798.0322265625,0.3425,50,False,False,False
64,-332.6391555017942,11578.275390625,0.33999999999999997,47,True,False,False
65,-294.8904261796887,11356.1279296875,0.3375,50,False,False,False
66,-179.92009151827466,11207.1337890625,0.33499999999999996,34,True,False,False
67,-184.08553252270602,11043.552734375,0.3325,38,True,False,False
68,-243.65293276319088,10872.87109375,0.32999999999999996,41,True,False,False
69,-260.36816774212326,10675.689453125,0.3275,50,False,False,False
70,-198.00225584998825,10541.2529296875,0.325,35,True,False,False
71,-289.84541933344155,10369.9609375,0.3225,46,True,False,False
72,-224.74541558120023,10229.79296875,0.32,38,True,False,False
73,-315.33541507285787,10053.4833984375,0.3175,50,False,False,False
74,-154.8427779476313,9936.3095703125,0.315,34,True,False,False
75,-165.79563047378463,9810.498046875,0.3125,37,True,False,False
76,-508.69864953579093,9649.04296875,0.31,50,False,False,False
77,-250.49775089051698,9502.5810546875,0.3075,48,True,False,False
78,-373.439696106364,9350.8173828125,0.305,50,False,False,False
79,-197.64405019709045,9221.107421875,0.3025,44,True,False,False
80,-190.03037507323575,9124.15234375,0.3,33,True,False,False
81,-274.17954523874755,9004.0888671875,0.2975,43,True,False,False
82,-198.13628332258065,8910.8720703125,0.29500000000000004,33,True,False,False
83,-243.6328695575766,8777.97265625,0.2925,50,False,False,False
84,-201.87075405149145,8676.8984375,0.29000000000000004,38,True,False,False
85,-365.6749788269278,8550.703125,0.2875,50,False,False,False
86,-199.30124151300996,8461.451171875,0.28500000000000003,35,True,False,False
87,-205.40808011179487,8341.5009765625,0.2825,50,False,False,False
88,-230.65438586589804,8243.6357421875,0.28,41,True,False,False
89,-326.04158816244154,8127.93310546875,0.27749999999999997,50,False,False,False
90,-125.76647327977315,8048.18994140625,0.275,35,True,False,False
91,-221.65465329449387,7956.50146484375,0.27249999999999996,41,True,False,False
92,-143.29759293223057,7862.853515625,0.27,43,True,False,False
93,-455.83204420599475,7757.5302734375,0.26749999999999996,50,False,False,False
94,-211.67167561621443,7681.15478515625,0.265,36,True,False,False
95,-188.03114888473317,7611.52783203125,0.2625,35,True,False,False
96,-194.40428747935593,7540.2060546875,0.26,35,True,False,False
97,-181.9382999535354,7451.04248046875,0.2575,46,True,False,False
98,-156.46155127774617,7387.9462890625,0.255,33,True,False,False
99,-191.85323711775902,7319.87158203125,0.2525,37,True,False,False
100,-144.11082541315355,7255.46142578125,0.25,35,True,False,False
