current_A_assumption,cell,fit_kind,seed,objective,success,selected,solver_failures,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,full_V_RMSE,full_T_RMSE,full_coverage,prefix_fit_V_RMSE,prefix_fit_T_RMSE,prefix_fit_coverage,suffix_forecast_V_RMSE,suffix_forecast_T_RMSE,suffix_forecast_coverage,prediction_solver_failure
5.0,2,full_fit,47,1.9507151629204942,True,False,0,5.200698750064878,4.862949348573054,3.98,4.18,5.8318589805261,5.54696324817837,8.68612671647658,1.4422510526004786,0.024109615235666404,0.3435684447723624,1.0,0.026010968866521617,0.28837042809405067,1.0,0.014157148852377774,0.5073876541643536,1.0,
5.0,2,prefix_fit,7,0.9439745695384126,True,False,0,6.0,4.0,3.98,4.18,5.515007607367646,5.587347756467798,23.138815518454678,1.121159917828213,0.08280093355551751,0.30044810256250054,0.9458689458689459,0.023460401675213474,0.17320861684944128,1.0,0.20346597191362867,0.6483974208842173,0.7295373665480427,
5.0,2,prefix_fit,17,0.946084197177808,True,False,0,5.999493677570632,4.284925470529753,3.98,4.18,5.516518234079992,5.580015727076678,23.251509951120507,1.116146652846765,0.08177772402958222,0.3035268795540476,0.9465811965811965,0.023496603100914323,0.17307395039295417,1.0,0.20033731032068913,0.6565571347634607,0.7330960854092526,
5.0,2,prefix_fit,27,0.9467319756750406,True,False,0,6.0,4.358115946307165,3.98,4.18,5.510642804063118,5.580636733655578,23.06680644475738,1.1238776977061748,0.08270574255141958,0.29930467380149145,0.9458689458689459,0.02351132929457712,0.17302338691275465,1.0,0.20318276833584106,0.6452348839035577,0.7295373665480427,
5.0,2,prefix_fit,37,0.943967080335884,True,True,0,6.0,4.0,3.98,4.18,5.514479980546767,5.584487057274588,23.138967330743444,1.1201473428772584,0.08310354854001148,0.2998495889702744,0.9458689458689459,0.02345948817337987,0.1732061006418152,1.0,0.20426421160704988,0.6466038323428972,0.7295373665480427,
5.0,2,prefix_fit,47,0.945208400505901,True,False,0,6.0,4.159829019830456,3.98,4.18,5.518452728450093,5.5782437054746925,23.020332156085452,1.1217876597060084,0.08231759351641349,0.3007287115397556,0.9469373219373219,0.023482166817104425,0.17305057367570945,1.0,0.20156414635263115,0.6476146528142369,0.7348754448398577,
5.0,3,full_fit,7,2.448946150639462,True,False,0,6.0,4.8416928757267925,3.98,4.18,5.569068012970065,5.280380467192877,5.29011184813003,1.6960906970076421,0.022140745709103224,0.414362234416553,1.0,0.02273173347901101,0.3418361825081109,1.0,0.01960318093206109,0.6251123424638395,1.0,
5.0,3,full_fit,17,2.4505134621246536,True,False,0,5.909195068367938,4.358180764997255,3.98,4.18,5.573987349460089,5.307727426909322,7.330611979272197,1.6382917578515215,0.022213476233983585,0.41453103723206336,1.0,0.022900989899137927,0.32941128324863406,1.0,0.019223550143160083,0.6517501849604377,1.0,
5.0,3,full_fit,27,2.4485718119251483,True,True,0,6.0,4.291521548650796,3.98,4.18,5.575522453100932,5.279808559475787,5.0,1.7029273918024315,0.022100718437433147,0.4145676869349574,1.0,0.022659734197299365,0.34376104668576407,1.0,0.019710266590378486,0.6215663088413753,1.0,
5.0,3,full_fit,37,2.45377929006752,True,False,0,5.907522387461454,4.424959979930741,3.98,4.18,5.57409354249903,5.297107645564166,5.023337154826841,1.7010067855676898,0.022205165804818388,0.41457431284125207,1.0,0.022857507066814733,0.34381768949851915,1.0,0.019381665461421223,0.6214632306362193,1.0,
