current_A_assumption,cell,model_evaluation,segment,V_RMSE,V_bias,T_RMSE,T_bias,coverage_fraction,full_coverage
5.0,1,SPM_same_parameters,full,0.032955658811756064,0.02623782127897666,1.0635748346955758,-0.8894408442172347,1.0,True
5.0,1,SPM_same_parameters,early_0_20pct,0.01816640498500506,-0.0026158973791868562,0.3517386061911265,-0.22260097708849397,1.0,True
5.0,1,SPM_same_parameters,middle_20_80pct,0.0344740817587169,0.031953394452827924,0.8546847609351799,-0.8469675283034478,1.0,True
5.0,1,SPM_same_parameters,late_80_100pct,0.03918528468757529,0.037973541888821814,1.8272288803710814,-1.6834872253390258,1.0,True
5.0,1,SPM_same_parameters,prefix_fit,0.031202265164454013,0.023300200648336176,0.7606600655261498,-0.6906795488169373,1.0,True
5.0,1,SPM_same_parameters,suffix_forecast,0.03918528468757529,0.037973541888821814,1.8272288803710814,-1.6834872253390258,1.0,True
5.0,2,SPMe_full_fit,full,0.02356505969741754,-0.006415419528028964,0.3422788773270825,-0.01444732506051118,1.0,True
5.0,2,SPMe_full_fit,early_0_20pct,0.04412549691411412,-0.04012912201761434,0.16365327840356153,0.009124514520771907,1.0,True
5.0,2,SPMe_full_fit,middle_20_80pct,0.014214562600146516,0.003933213100924801,0.31955238816497067,0.031335022496576624,1.0,True
5.0,2,SPMe_full_fit,late_80_100pct,0.014902422563598191,-0.0037107870511804944,0.5025903305807654,-0.1752032808092958,1.0,True
5.0,2,SPMe_full_fit,prefix_fit,0.025272389708315763,-0.007092179747080093,0.28855523796962035,0.02577745104403778,1.0,True
5.0,2,SPMe_full_fit,suffix_forecast,0.014902422563598191,-0.0037107870511804944,0.5025903305807654,-0.1752032808092958,1.0,True
5.0,2,SPMe_prefix_forecast,full,0.08290335361578907,-0.03214722347556189,0.2982844897114457,-0.0702725527462755,0.9455128205128205,False
5.0,2,SPMe_prefix_forecast,early_0_20pct,0.04374357716537985,-0.03901623595288012,0.21132234866482902,0.16854229412114088,1.0,True
5.0,2,SPMe_prefix_forecast,middle_20_80pct,0.011570755866422325,0.00193542209603201,0.15836349186555213,-0.02667211156542108,1.0,True
5.0,2,SPMe_prefix_forecast,late_80_100pct,0.20355567644495368,-0.16303913088463592,0.6426082763386686,-0.5779426918368546,0.7277580071174378,False
5.0,2,SPMe_prefix_forecast,prefix_fit,0.024066223307941358,-0.008311608991897028,0.17314123966925313,0.022174948094350878,1.0,True
5.0,2,SPMe_prefix_forecast,suffix_forecast,0.20355567644495368,-0.16303913088463592,0.6426082763386686,-0.5779426918368546,0.7277580071174378,False
5.0,2,SPM_same_parameters,full,0.03319212624452553,0.024288542340433532,0.8795740394560607,-0.7342695225534284,1.0,True
5.0,2,SPM_same_parameters,early_0_20pct,0.021197286655874274,-0.008931731167647717,0.288716442991632,-0.15293987851481455,1.0,True
5.0,2,SPM_same_parameters,middle_20_80pct,0.03731166860624294,0.03482161881106892,0.7237570483865366,-0.7089310669792395,1.0,True
5.0,2,SPM_same_parameters,late_80_100pct,0.02972899300922148,0.025947070694511225,1.4874587098142185,-1.3915243608748429,1.0,True
5.0,2,SPM_same_parameters,prefix_fit,0.0340035558266167,0.023873541033669652,0.6431247460915052,-0.5698094962236709,1.0,True
5.0,2,SPM_same_parameters,suffix_forecast,0.02972899300922148,0.025947070694511225,1.4874587098142185,-1.3915243608748429,1.0,True
5.0,3,SPMe_full_fit,full,0.022593392341503957,-0.005349464806705472,0.4136982536632849,-0.03344773801382743,1.0,True
5.0,3,SPMe_full_fit,early_0_20pct,0.03845671127440128,-0.03471082328290637,0.1569673820186803,-0.051619380798158344,1.0,True
5.0,3,SPMe_full_fit,middle_20_80pct,0.015044954865595258,0.004776279141532375,0.38676531704475026,0.018825166007295918,1.0,True
5.0,3,SPMe_full_fit,late_80_100pct,0.019817822101128178,-0.006308664235209326,0.6182310004174535,-0.1718022350688677,1.0,True
5.0,3,SPMe_full_fit,prefix_fit,0.02323642484888763,-0.005109328938569991,0.34395708692221966,0.0011893523278360798,1.0,True
5.0,3,SPMe_full_fit,suffix_forecast,0.019817822101128178,-0.006308664235209326,0.6182310004174535,-0.1718022350688677,1.0,True
5.0,3,SPMe_prefix_forecast,full,0.08543520187247086,-0.03228816932060802,0.34486904100795857,-0.09293611360340424,0.9454613373178932,False
5.0,3,SPMe_prefix_forecast,early_0_20pct,0.038301952360931535,-0.033852437312316686,0.19575094125363404,0.16896783227756781,1.0,True
5.0,3,SPMe_prefix_forecast,middle_20_80pct,0.011539131316112741,0.001589458415581337,0.14763549338148269,-0.030610549014238268,1.0,True
5.0,3,SPMe_prefix_forecast,late_80_100pct,0.21167323172491787,-0.1695577715591415,0.79340546505549,-0.7093798217003592,0.7276119402985075,False
5.0,3,SPMe_prefix_forecast,prefix_fit,0.021612283962538417,-0.007283430939931666,0.16103594230242094,0.019353959333453494,1.0,True
5.0,3,SPMe_prefix_forecast,suffix_forecast,0.21167323172491787,-0.1695577715591415,0.79340546505549,-0.7093798217003592,0.7276119402985075,False
5.0,3,SPM_same_parameters,full,0.03365349923307883,0.025494354740819104,0.8329376849948817,-0.6721493741998208,1.0,True
5.0,3,SPM_same_parameters,early_0_20pct,0.01782804050688431,-0.0034539038591291254,0.2871636085739692,-0.1862324523190999,1.0,True
5.0,3,SPM_same_parameters,middle_20_80pct,0.03845604046786752,0.03580847781528649,0.6605061222928624,-0.6297226200278346,1.0,True
5.0,3,SPM_same_parameters,late_80_100pct,0.030170982355466027,0.023557972418155083,1.440908275680552,-1.2851090954201643,1.0,True
5.0,3,SPM_same_parameters,prefix_fit,0.034470325370344806,0.025979128643176835,0.589655024915572,-0.5186947218999123,1.0,True
5.0,3,SPM_same_parameters,suffix_forecast,0.030170982355466027,0.023557972418155083,1.440908275680552,-1.2851090954201643,1.0,True
