current_A_assumption,cell,fit_kind,seed,objective,success,selected,solver_failures,optimizer_reused,objective_mesh,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,full_V_RMSE,full_T_RMSE,full_coverage,prefix_fit_V_RMSE,prefix_fit_T_RMSE,prefix_fit_coverage,suffix_forecast_V_RMSE,suffix_forecast_T_RMSE,suffix_forecast_coverage,prediction_solver_failure
5.0,1,full_fit,27,2.3100432597123493,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.944848776965584,4.277216619348511,3.98,4.18,6.197805586981084,5.453561579810551,7.107123731704847,1.2576934800643227,0.02066056289856414,0.40758590389237465,0.999664654594232,0.022170866949436496,0.30857671780956114,1.0,0.01296134227415047,0.6707249459346518,0.998324958123953,
5.0,1,full_fit,37,2.353803957891518,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.396478083305777,4.628136548985245,3.98,4.18,6.193092918759206,5.503265338781807,7.228165002169865,1.2554216687471296,0.021630487924759693,0.4077832909706708,0.999664654594232,0.023171272126322705,0.3049714571322837,1.0,0.013843511462826962,0.6778854296265191,0.998324958123953,
5.0,1,full_fit,47,2.341939452104069,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.474852176814293,4.343627956550242,3.98,4.18,6.196496482025145,5.495167593849668,6.768224556887092,1.2712706285984805,0.02145738266985848,0.40737776861762215,0.999664654594232,0.022999400136083037,0.31063556269168147,1.0,0.013641543412881417,0.6662746940180729,0.998324958123953,
5.0,1,prefix_fit,7,0.7048542265363187,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,5.0,3.98,4.18,5.792138745937409,5.6622809496786966,18.649664719668557,0.9704651588429637,0.08013141865734096,0.3019501136361043,0.937290409121395,0.020552207873933553,0.15369515823018706,1.0,0.2032624807794318,0.6957922643916193,0.6867671691792295,
5.0,1,prefix_fit,17,0.6998871464916472,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.0,3.98,4.18,5.838593062264959,5.631529026971151,18.116509350315816,0.9830757350605238,0.07586119560823724,0.31291284158661065,0.9426559356136821,0.020421172436357313,0.15408185202881008,1.0,0.18878459799772795,0.7163658710475823,0.7135678391959799,
5.0,1,prefix_fit,27,0.7309046961681934,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.31642466455544,4.189963415879138,3.98,4.18,5.807143703044061,5.72617171145681,18.742549166301046,0.9639777575985854,0.07922573177808619,0.3090871347500925,0.9382964453386988,0.02120711584497877,0.15390152669728246,1.0,0.1998160102576987,0.7144584005195178,0.6917922948073701,
5.0,1,prefix_fit,37,0.7009642867316309,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.512405573369773,3.98,4.18,5.827029533671214,5.63426563465083,18.54456056159361,0.9711632865247793,0.07661466576687584,0.3191609661558985,0.9419852448021462,0.02048284828652806,0.15374558457872575,1.0,0.1911217390936381,0.7361284337537162,0.7102177554438861,
5.0,1,prefix_fit,47,0.7219823595060488,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.580960534846342,4.796385206662831,3.98,4.18,5.803586276305483,5.707588660825938,18.68927590609223,0.9688042412560204,0.07876900321847638,0.3115826727793322,0.9389671361502347,0.020958109607125054,0.1539331221638732,1.0,0.19833744766642292,0.7203094883489253,0.695142378559464,
5.0,2,full_fit,7,1.895573693299831,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.514616529406577,3.98,4.18,5.836884623680709,5.455387000098943,8.831462165212264,1.4439263412033192,0.023583510853992667,0.3423340384101136,1.0,0.025297210057444904,0.2859027817129287,1.0,0.014879942100622712,0.5087978012111365,1.0,
5.0,2,full_fit,17,1.895830990107291,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.999909202846677,4.7676603444473535,3.98,4.18,5.835513412970985,5.449449225030099,7.986660038313238,1.473425775653109,0.02360379560989156,0.3419833612249641,1.0,0.02533524964787323,0.29146815480363164,1.0,0.014781674047550592,0.49480751864214945,1.0,
5.0,2,full_fit,27,1.893326434356638,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.336837725028014,3.98,4.18,5.840497269676596,5.447862671882639,8.425465929959808,1.4576650467942196,0.02356505969741754,0.3422788773270825,1.0,0.025272389708315763,0.28855523796962035,1.0,0.014902422563598191,0.5025903305807654,1.0,
5.0,2,full_fit,37,1.894347971476677,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.51219259982697,3.98,4.18,5.837813548088673,5.445846989525312,8.67235986593284,1.44813247745058,0.023589051157322453,0.34229069156276754,1.0,0.0252886210274046,0.28760814513211175,1.0,0.014981818482585101,0.5047952345988568,1.0,
5.0,2,full_fit,47,1.9507151629204942,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.200698750064878,4.862949348573054,3.98,4.18,5.8318589805261,5.54696324817837,8.68612671647658,1.4422510526004786,0.02469804003198581,0.34243905567482347,1.0,0.026686900263347982,0.2883682500580613,1.0,0.01419742992544469,0.5035634637121288,1.0,
5.0,2,prefix_fit,7,0.9439745695384126,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.0,3.98,4.18,5.515007607367646,5.587347756467798,23.138815518454678,1.121159917828213,0.08322227176451688,0.2996821584851382,0.9458689458689459,0.024064381963745402,0.17315286588046544,1.0,0.20419184995064626,0.6461789661363176,0.7295373665480427,
5.0,2,prefix_fit,17,0.946084197177808,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.999493677570632,4.284925470529753,3.98,4.18,5.516518234079992,5.580015727076678,23.251509951120507,1.116146652846765,0.08218594770579517,0.3025882978407274,0.9465811965811965,0.024105822554923932,0.17320558925837845,1.0,0.20101931433527462,0.6535660737653506,0.7330960854092526,
5.0,2,prefix_fit,27,0.9467319756750406,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.358115946307165,3.98,4.18,5.510642804063118,5.580636733655578,23.06680644475738,1.1238776977061748,0.08311075665683763,0.2983698895675013,0.9458689458689459,0.02412194743019263,0.1731522984729604,1.0,0.20386014119565782,0.6422338568482613,0.7295373665480427,
5.0,2,prefix_fit,37,0.943967080335884,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.0,3.98,4.18,5.514479980546767,5.584487057274588,23.138967330743444,1.1201473428772584,0.08290335361578907,0.2982844897114457,0.9455128205128205,0.024066223307941358,0.17314123966925313,1.0,0.20355567644495368,0.6426082763386686,0.7277580071174378,
5.0,2,prefix_fit,47,0.945208400505901,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.159829019830456,3.98,4.18,5.518452728450093,5.5782437054746925,23.020332156085452,1.1217876597060084,0.08211720161007742,0.2986971879091032,0.9465811965811965,0.02409252303455259,0.17317483579001441,1.0,0.20084667961138955,0.6419598262082918,0.7330960854092526,
5.0,3,full_fit,7,2.448946150639462,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.8416928757267925,3.98,4.18,5.569068012970065,5.280380467192877,5.29011184813003,1.6960906970076421,0.02263319813165962,0.4135125401077423,1.0,0.023309128717730932,0.34242795099354595,1.0,0.01970330354868789,0.6209949581299499,1.0,
5.0,3,full_fit,17,2.4505134621246536,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.909195068367938,4.358180764997255,3.98,4.18,5.573987349460089,5.307727426909322,7.330611979272197,1.6382917578515215,0.02269258981866494,0.4133186432777563,1.0,0.02346520197689209,0.32968119148929087,1.0,0.01930038728290047,0.6473445289688928,1.0,
5.0,3,full_fit,27,2.4485718119251483,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.291521548650796,3.98,4.18,5.575522453100932,5.279808559475787,5.0,1.7029273918024315,0.022593392341503957,0.4136982536632849,1.0,0.02323642484888763,0.34395708692221966,1.0,0.019817822101128178,0.6182310004174535,1.0,
5.0,3,full_fit,37,2.45377929006752,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.907522387461454,4.424959979930741,3.98,4.18,5.57409354249903,5.297107645564166,5.023337154826841,1.7010067855676898,0.022694023227862882,0.41372174472512824,1.0,0.023434813104580562,0.34403090165747713,1.0,0.019455663707054708,0.6181454485732282,1.0,
5.0,3,full_fit,47,2.4513197085535765,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.8838018787345945,4.5011861128362245,3.98,4.18,5.573482115469981,5.292184821760283,6.602010843321508,1.6559791813811855,0.022721528660296267,0.4133174362555894,1.0,0.023437721828474374,0.33569859497984805,1.0,0.019601457513340546,0.6348676484025308,1.0,
