time_s,voltage_V,temperature_C
733.0,3.8107,26.8
734.0,3.8104,26.8
735.0,3.8101,26.8
736.0,3.8098,27.0
737.0,3.8092,26.8
738.0,3.8089,26.8
739.0,3.8085,27.0
740.0,3.8082,26.8
741.0,3.8079,26.8
742.0,3.8076,27.0
743.0,3.8073,27.0
744.0,3.807,26.8
745.0,3.8067,27.0
746.0,3.8064,26.8
747.0,3.8061,27.0
748.0,3.8058,27.0
749.0,3.8054,27.0
750.0,3.8051,27.0
751.0,3.8048,26.8
752.0,3.8045,26.8
753.0,3.8042,26.8
754.0,3.8039,26.8
755.0,3.8036,26.8
756.0,3.8033,26.8
757.0,3.8027,26.8
758.0,3.8023,27.0
759.0,3.802,26.8
760.0,3.8017,26.8
761.0,3.8014,26.8
762.0,3.8011,26.8
763.0,3.8005,26.8
764.0,3.8002,27.0
765.0,3.8002,27.0
766.0,3.7999,26.8
767.0,3.7996,27.0
768.0,3.7992,26.8
769.0,3.7989,26.8
770.0,3.7986,27.0
771.0,3.7983,26.8
772.0,3.798,27.0
773.0,3.7977,26.8
774.0,3.7974,27.0
775.0,3.7971,27.0
776.0,3.7968,27.0
777.0,3.7965,27.0
778.0,3.7958,27.0
779.0,3.7958,27.0
780.0,3.7955,27.0
781.0,3.7949,27.0
782.0,3.7946,27.0
783.0,3.7943,27.0
784.0,3.7943,27.0
785.0,3.7937,27.0
786.0,3.7934,27.0
787.0,3.7934,27.0
788.0,3.7927,27.0
789.0,3.7924,27.0
790.0,3.7924,26.8
791.0,3.7921,26.8
792.0,3.7918,27.0
793.0,3.7915,27.0
794.0,3.7912,27.0
795.0,3.7909,27.0
796.0,3.7906,27.0
797.0,3.7903,27.0
798.0,3.7899,27.0
799.0,3.7896,27.0
800.0,3.7893,27.0
801.0,3.789,27.0
802.0,3.789,27.0
803.0,3.7884,27.0
804.0,3.7884,27.0
805.0,3.7881,27.0
806.0,3.7878,27.0
807.0,3.7875,27.0
808.0,3.7868,27.0
809.0,3.7865,27.0
810.0,3.7862,27.0
811.0,3.7859,27.0
