current_A_assumption,cell,fit_kind,parameter_index,parameter_name,fixed,optimizer_runs,scaled_mean,scaled_std,scaled_min,scaled_max,physical_mean,physical_std,fraction_at_bound,interpretation
4.0,3,full_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,full_fit,4,Negative electrode active material volume fraction,False,5,4.5,0.0,4.5,4.5,0.45,0.0,1.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,full_fit,5,Positive electrode active material volume fraction,False,5,4.021248717499276,0.02909600714131334,4.0,4.0531385424653426,0.4021248717499276,0.002909600714131334,0.6,"optimizer variability, not physical parameter uncertainty"
4.0,3,full_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,5.0,0.0,5.0,5.0,5.0,0.0,1.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,full_fit,7,Heat capacity multiplier,False,5,1.249356266153637,0.0012224286605684166,1.2479894576977797,1.2502727868339556,1.249356266153637,0.0012224286605684166,0.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,prefix_fit,0,Positive electrode diffusivity [m2.s-1],False,5,6.0,0.0,6.0,6.0,6.0000000000000005e-15,0.0,1.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,prefix_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.423028042710926,0.46001515931924825,4.0,5.0,4.423028042710926e-14,4.600151593192482e-15,0.6,"optimizer variability, not physical parameter uncertainty"
4.0,3,prefix_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,prefix_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
4.0,3,prefix_fit,4,Negative electrode active material volume fraction,False,5,4.517119869357851,0.023467779057639943,4.5,4.544344368246181,0.45171198693578507,0.0023467779057639946,0.6,"optimizer variability, not physical parameter uncertainty"
4.0,3,prefix_fit,5,Positive electrode active material volume fraction,False,5,4.019258699430139,0.043063761084028464,4.0,4.096293497150698,0.40192586994301394,0.004306376108402846,0.8,"optimizer variability, not physical parameter uncertainty"
4.0,3,prefix_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,22.04160169685341,0.09440650301125153,21.939531784251816,22.156639913188446,22.04160169685341,0.09440650301125153,0.0,"optimizer variability, not physical parameter uncertainty"
