time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature
630.0,3,0.4401444902874127,0.08018050877833742,3.8325110772549444,298.7306139773959,2.5,3.8280306029381075,3.8325110772549444,298.7306139773959,-0.75,-3.0090254389168707,-0.0,-0.0
720.0,1,0.26469304994221904,0.08109054107804091,3.666611102205885,299.27201408007693,3.5,3.6564031164439807,3.666611102205885,299.27201408007693,-0.75,-3.0545270539020453,-0.0,-0.0
720.0,2,0.37424641120423807,0.08109054107804091,3.795404570617806,299.1058649825947,3.5,3.7858950855944813,3.795404570617806,299.1058649825947,-0.75,-3.0545270539020453,-0.0,-0.0
720.0,3,0.4629587096365268,0.08109054107804091,3.8853837421452537,298.82952902617836,3.5,3.8720817332139044,3.8853837421452537,298.82952902617836,-0.75,-3.0545270539020453,-0.0,-0.0
810.0,1,0.28527968118499647,0.07945513905633061,3.6879602208460813,299.39422966441197,3.5,3.677243553799373,3.6879602208460813,299.39422966441197,-0.75,-2.9727569528165305,-0.0,-0.0
810.0,2,0.39602721260476825,0.07945513905633061,3.8145448628466045,299.21143691536696,3.5,3.8049410865727267,3.8145448628466045,299.21143691536696,-0.75,-2.9727569528165305,-0.0,-0.0
810.0,3,0.47925458060017984,0.07945513905633061,3.8674645221798016,298.88043546877816,2.5,3.8633866205295253,3.8674645221798016,298.88043546877816,-0.75,-2.9727569528165305,-0.0,-0.0
900.0,1,0.3058663124277743,0.08036461404098139,3.7090408006361617,299.513226267644,3.5,3.6985823920715837,3.7090408006361617,299.513226267644,-0.75,-3.018230702049069,-0.0,-0.0
900.0,2,0.4178080140052979,0.08036461404098139,3.8342281864651317,299.3143752344592,3.5,3.824337330854816,3.8342281864651317,299.3143752344592,-0.75,-3.018230702049069,-0.0,-0.0
900.0,3,0.5020687999492935,0.08036461404098139,3.9175237287589075,298.9775088374949,3.5,3.9055791369785346,3.9175237287589075,298.9775088374949,-0.75,-3.018230702049069,-0.0,-0.0
990.0,1,0.32645294367055194,0.07876510221139157,3.728679211273213,299.6286675867207,3.5,3.7190046101288807,3.728679211273213,299.6286675867207,-0.75,-2.9382551105695787,-0.0,-0.0
990.0,2,0.4395888154058272,0.07876510221139157,3.8543440353920255,299.41438726594725,3.5,3.844269347236228,3.8543440353920255,299.41438726594725,-0.75,-2.9382551105695787,-0.0,-0.0
990.0,3,0.5183646709129469,0.07876510221139157,3.898656055725436,299.02690778413853,2.5,3.8952355285337994,3.898656055725436,299.02690778413853,-0.75,-2.9382551105695787,-0.0,-0.0
1080.0,1,0.34703957491332904,0.07967360665229611,3.7465975989582874,299.7413520856398,3.5,3.737767980620172,3.7465975989582874,299.7413520856398,-0.75,-2.9836803326148056,-0.0,-0.0
1080.0,2,0.4613696168063566,0.07967360665229611,3.874313099395893,299.5121208828067,3.5,3.8643707863662264,3.874313099395893,299.5121208828067,-0.75,-2.9836803326148056,-0.0,-0.0
1080.0,3,0.541178890262061,0.07967360665229611,3.9456465202911053,299.12241267902,3.5,3.93499678721162,3.9456465202911053,299.12241267902,-0.75,-2.9836803326148056,-0.0,-0.0
1170.0,1,0.3676262061561064,0.07811133464282595,3.763301861269332,299.85144720938194,3.5,3.7550163117052673,3.763301861269332,299.85144720938194,-0.75,-2.9055667321412972,-0.0,-0.0
1170.0,2,0.4831504182068861,0.07811133464282595,3.893436975747105,299.60771081829427,3.5,3.8839689469507723,3.893436975747105,299.60771081829427,-0.75,-2.9055667321412972,-0.0,-0.0
