time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature
630.0,3,0.3228142193491199,0.04252369422120142,3.6272269072991143,298.2133489411925,0.0,3.627366580829652,3.6275458734028208,298.2138501301851,-0.75,-1.126184711060071,-0.0,-0.0
720.0,1,0.24116547137904534,0.0381491937179019,3.6136140361095195,299.0533394129056,2.5,3.6112391011478313,3.6163856946945074,299.0533394129056,-0.75,-0.9074596858950951,-0.0,-0.0
720.0,2,0.3213501792315231,0.0381491937179019,3.6967022125597113,298.67527374006266,2.0,3.69065025577789,3.6967022125597113,298.67527374006266,-0.75,-0.9074596858950951,-0.0,-0.0
720.0,3,0.32281421934912086,0.0381491937179019,3.627076482017685,298.2128517732696,0.0,3.6271439707610242,3.6272269072991143,298.2133489411925,-0.75,-0.9074596858950951,-0.0,-0.0
810.0,1,0.25587020798102955,0.03443930526032993,3.6261696013730864,299.11581789931745,2.5,3.61964166394436,3.6261696013730864,299.11581789931745,-0.75,-0.7219652630164963,-0.0,-0.0
810.0,2,0.3337963514603968,0.03443930526032993,3.7083297565975792,298.7096706831773,2.0,3.7025639691629317,3.7083297565975792,298.7096706831773,-0.75,-0.7219652630164963,-0.0,-0.0
810.0,3,0.3228142193491218,0.03443930526032993,3.627000818600801,298.21235853122965,0.0,3.6270349112286526,3.627076482017685,298.2128517732696,-0.75,-0.7219652630164963,-0.0,-0.0
900.0,1,0.27057494458301345,0.031628766442636104,3.6405953571221628,299.1765996244903,2.5,3.633290740510373,3.6405953571221628,299.1765996244903,-0.75,-0.5814383221318051,-0.0,-0.0
900.0,2,0.346242523689271,0.031628766442636104,3.719406703328363,298.74320746653774,2.0,3.7139101417653264,3.719406703328363,298.74320746653774,-0.75,-0.5814383221318051,-0.0,-0.0
900.0,3,0.3228142193491227,0.031628766442636104,3.6269621499085973,298.21186916000664,0.0,3.626979585695339,3.627000818600801,298.21235853122965,-0.75,-0.5814383221318051,-0.0,-0.0
