episode,environment_steps,epsilon,reward,loss,charging_target_reached,charge_phase_constraints_satisfied,failure_reason,initial_soc,elapsed_wall_s
69,2585,0.476065625,-66.9941852030491,,True,True,,"[0.1, 0.2, 0.3]",5848.0083227
70,2615,0.47576562499999997,-111.79005173256415,2.9537272453308105,True,True,,"[0.3, 0.5, 0.7]",5920.979879300001
71,2643,0.475484375,-99.35703242546744,,True,True,,"[0.3666162837808503, 0.20356549528334172, 0.6049024332396606]",5984.412447900002
72,2673,0.475221875,-90.34209166995137,2.7551887035369873,True,True,,"[0.3781040709381738, 0.7195982802203686, 0.5035330758285929]",6062.302034
73,2703,0.474940625,-67.00323210722793,3.118236541748047,True,True,,"[0.1, 0.2, 0.3]",6142.125580799999
74,2726,0.474659375,-73.11100714647912,,True,True,,"[0.3, 0.5, 0.7]",6199.871837999999
75,2757,0.47444375,-158.68129470667057,2.9425559043884277,True,True,,"[0.2164804045835585, 0.5470374033511654, 0.729643244686792]",6284.812608100001
76,2787,0.474153125,-28.287306744197547,,True,True,,"[0.2923822810982051, 0.31739755925159807, 0.2581604824307273]",6359.446859600001
77,2821,0.473871875,-109.6582771915707,2.1604413986206055,True,True,,"[0.1, 0.2, 0.3]",6444.4274025999985
78,2845,0.473553125,-98.4724322292974,,True,True,,"[0.3, 0.5, 0.7]",6525.4059595
79,2878,0.473328125,-141.32953782603553,2.6269822120666504,True,True,,"[0.6321046826048595, 0.4334687379977771, 0.27922242958838495]",6632.286226899996
80,2896,0.47301875,-22.5027297785905,,True,True,,"[0.6748516084319698, 0.6404566619554283, 0.7497779677545414]",6685.989175000002
81,2933,0.47285,-42.12729157273021,2.250981569290161,True,True,,"[0.1, 0.2, 0.3]",6772.896325100002
82,2960,0.472503125,-109.48817660940274,2.3209822177886963,True,True,,"[0.3, 0.5, 0.7]",6846.639380799999
83,2984,0.47225,-85.98586040699284,,True,True,,"[0.7435411509413714, 0.7341745199467177, 0.46739999053585635]",6927.9846875
84,3014,0.47202500000000003,-174.6833313993569,2.307802200317383,True,True,,"[0.1572162207349814, 0.6008636500387583, 0.5756300694413574]",7010.4780543000015
85,3043,0.47174375,-56.27337398993357,,True,True,,"[0.1, 0.2, 0.3]",7082.967081499999
86,3068,0.471471875,-72.3577602331184,2.767608880996704,True,True,,"[0.3, 0.5, 0.7]",7167.412869899999
87,3099,0.4712375,-117.00522935816493,,True,True,,"[0.16015651377860662, 0.12984526537324523, 0.4187017260441721]",7250.647202
88,3135,0.470946875,-213.04336584619344,2.1654961109161377,True,True,,"[0.1677745142793896, 0.37995888374336395, 0.5838220262163303]",7360.771244299998
89,3169,0.470609375,-118.91313243317046,2.365624189376831,True,True,,"[0.1, 0.2, 0.3]",7457.076422899998
90,3197,0.470290625,-115.0641702308795,,True,True,,"[0.3, 0.5, 0.7]",7543.7527281
91,3231,0.470028125,-191.39825660955344,2.2284088134765625,True,True,,"[0.1115610403467314, 0.5393944511709705, 0.15756262663079712]",7648.443985099999
92,3255,0.469709375,-48.23031664588459,2.616265296936035,True,True,,"[0.39864657902712153, 0.6204578348634967, 0.5066156965094705]",7723.095512599997
93,3287,0.469484375,-93.48329838828285,,True,True,,"[0.1, 0.2, 0.3]",7808.467663199997
94,3311,0.469184375,-92.22256147885817,2.2943644523620605,True,True,,"[0.3, 0.5, 0.7]",7883.603341399998
95,3334,0.468959375,-70.72790235705301,,True,True,,"[0.7235408464880123, 0.43969867339960245, 0.6428247416940387]",7962.427923499999
96,3369,0.46874375,-240.06625797969534,2.1052780151367188,True,True,,"[0.6540623387506376, 0.591763623292515, 0.11586420591382576]",8085.204985299999
97,3399,0.468415625,-50.24537728183919,,True,True,,"[0.1, 0.2, 0.3]",8164.231589700001
98,3427,0.468134375,-124.8744324207398,1.7294994592666626,True,True,,"[0.3, 0.5, 0.7]",8227.709417500002
99,3457,0.467871875,-174.2951539929842,2.0153496265411377,True,True,,"[0.12491141877413814, 0.24516689956678953, 0.7270949580177561]",8279.881692900002
100,3489,0.467590625,-125.97299752290105,,True,True,,"[0.401495052839153, 0.1681503732667165, 0.5653448890760516]",8335.648525700002
101,3521,0.467290625,-57.57067929126434,17.551992416381836,True,True,,"[0.1, 0.2, 0.3]",8387.389888500002
102,3550,0.466990625,-116.08176896025527,10.262042999267578,True,True,,"[0.3, 0.5, 0.7]",8435.606537799998
103,3565,0.46671875,-17.51215128972533,,True,True,,"[0.6128137472045708, 0.6991486001145326, 0.7473540351890555]",8467.373044200001
104,3596,0.466578125,-81.17273232192177,,True,True,,"[0.35675878281666695, 0.5245059785639975, 0.4947191787179417]",8522.668238899998
105,3639,0.46628749999999997,-111.49537209334538,5.57289457321167,True,True,,"[0.1, 0.2, 0.3]",8588.8831671
106,3668,0.465884375,-127.60968242900837,4.831658363342285,True,True,,"[0.3, 0.5, 0.7]",8637.661970599998
107,3715,0.4656125,-228.22365821066904,4.584292888641357,True,True,,"[0.45289595151675555, 0.16383516462428194, 0.16734294523215842]",8713.0616801
108,3759,0.465171875,-155.7790141727112,3.3556220531463623,True,True,,"[0.3798628400582459, 0.1840070939676452, 0.35327760241870176]",8782.418454899998
109,3795,0.464759375,-64.5306711340717,,True,True,,"[0.1, 0.2, 0.3]",8838.473236500002
110,3821,0.464421875,-97.01862290405514,3.9812703132629395,True,True,,"[0.3, 0.5, 0.7]",8880.976788300002
111,3870,0.464178125,-239.8414752062599,2.8751144409179688,True,True,,"[0.25124844754838666, 0.45099971829505026, 0.17875308771696596]",8973.2751546
112,3896,0.46371875,-80.16084549823287,,True,True,,"[0.3477785816590035, 0.37318239748533477, 0.6420153083154939]",9021.279316200002
